,Brand,Cooling_Capacity,Star_Rating,Annual_power_usage,Room_Size,Warranty,Price,Ratings,no_of_rating,Reviews
326,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
327,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
328,Godrej,1.5 Ton,5 Star,765.86,111 - 150,1,"36,490",,,
329,Hitachi,1.8 Ton,4 Star,1084.82,151 - 200,1,"56,499",,,
330,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
331,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
332,Hitachi,1 Ton,3 Star,669.16,90,,"32,250",4.4,14,
333,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"51,469",4.2,374,43
334,ONIDA,1.5 Ton,3 Star,1002.84,111 - 150,1,"38,490",4.2,205,20
335,Daikin,1.8 Ton,4 Star,1161.78,151 - 200,1,"52,790",3.9,14,
336,CARRIER,1.5 Ton,3 Star,964.1,111 - 150,1,"35,990",4,"14,872","1,254"
337,IFB,1.5 Ton,3 Star,1002.83,111 - 150,1,"41,490",3.9,"1,637",133
338,Lloyd,1 Ton,5 Star,574.71,90,,"37,999",4,10,
339,Godrej,1.5 Ton,5 Star,840.2,111 - 150,1,"40,300",4.1,38,
340,Panasonic,1.5 Ton,3 Star,1002.31,111 - 150,1,"36,990",4.1,"24,837","2,508"
341,Panasonic,1.5 Ton,4 Star,876.76,111 - 150,1,"41,790",4,"2,464",262
342,Hitachi,2 Ton,3 Star,1409.41,151 - 200,1,"51,850",3.7,,
343,Hitachi,1 Ton,3 Star,669.16,90,,"32,250",4.4,14,
344,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"51,469",4.2,374,43
345,Blue,1 Ton,3 Star,704.42,90,,"34,390",4.9,,
346,Blue,1.5 Ton,5 Star,770.98,111 - 150,1,"45,990",4,"5,266",456
347,Panasonic,1.5 Ton,5 Star,774.19,111 - 150,1,"44,990",4.1,"24,837","2,508"
348,Daikin,1 Ton,5 Star,523.54,90,,"38,600",3.7,36,
349,ONIDA,1 Ton,3 Star,689.19,90,,"28,599",4.6,,
350,Godrej,2 Ton,3 Star,1183.2,151 - 200,5,"42,990",4,"11,016",812
351,Panasonic,0.8 Ton,3 Star,519.64,90,,"28,990",4.1,"24,837","2,508"
352,Lloyd,1.5 Ton,4 Star,863.15,111 - 150,1,"43,990",4.1,"8,803","1,193"
353,Godrej,1 Ton,3 Star,,90,,"28,290",4.3,,
354,Blue,1.5 Ton,5 Star,1082.57,111 - 150,1,"37,999",3.9,112,13
355,Kelvinator,1.5 Ton,3 Star,988.09,111 - 150,5,"33,499",,,
356,Panasonic,1 Ton,3 Star,676.64,90,,"32,990",4,"2,464",262
357,Blue,2 Ton,3 Star,1261.37,151 - 200,1,"48,990",4,"5,266",456
358,Hitachi,1.5 Ton,5 Star,823.18,111 - 150,1,"47,890",,,
359,Blue,1.5 Ton,3 Star,101.2,111 - 150,1,"41,500",,,
